"Severity","Appender","Date","Time","Category","Message"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","+ Module (cbvalidation) Registered (41ms) => { version: 4.4.0+26, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-deps/modules/cborm/modules/cbvalidation }"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","+ Module (cborm) Registered (100ms) => { version: 1.0.0, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-deps/modules/cborm }"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","+ Module (cors) Registered (8ms) => { version: 1.0.0, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-deps/modules/cors }"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","> The module cbstorages has already been registered, so skipping registration"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","+ Module (cbcsrf) Registered (42ms) => { version: 3.1.0+16, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-deps/modules/cbsecurity/modules/cbcsrf }"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","+ Module (jwtcfml) Registered (16ms) => { version: 1.0.0, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-deps/modules/cbsecurity/modules/jwtcfml }"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","> The module cbstorages has already been registered, so skipping registration"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","+ Module (cbauth) Registered (37ms) => { version: 1.0.0, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-deps/modules/cbsecurity/modules/cbauth }"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","+ Module (cbsecurity) Registered (114ms) => { version: 1.0.0, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-deps/modules/cbsecurity }"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","> The module cbjavaloader has already been registered, so skipping registration"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","+ Module (cbemoji) Registered (15ms) => { version: 1.0.0, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-deps/modules/cbmarkdown/modules/cbemoji }"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","+ Module (cbmarkdown) Registered (38ms) => { version: 3.6.0+1, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-deps/modules/cbmarkdown }"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","> The module cbjavaloader has already been registered, so skipping registration"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","> Inception Module swagger-sdk does not have a valid ModuleConfig.cfc in its root, so skipping registration"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","+ Module (swagger-sdk) Registered (16ms) => { version: 2.0.0+82, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-deps/modules/cbSwagger/modules/swagger-sdk }"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","+ Module (cbSwagger) Registered (45ms) => { version: @version.number@+169, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-deps/modules/cbSwagger }"
"INFO","FILES","02/20/2024","23:28:04","coldbox.system.web.services.ModuleService","+ Module (cbmailservices) Registered (15ms) => { version: 1.0.0, from: /Users/jona/Documents/Dev/jonalainez/modules/contentbox/modules/contentbox-deps/modules/cbmailservices }"
